Strain,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,Colour
IL3578,0.06920904,0.050847458,0.039548023,0.012711864,0.066384181,0.13700565,0.103107345,0.005649718,0.019774011,0.035310734,0.107344633,0.076271186,0.080508475,0.049435028,0.146892655,Burkina Faso
IL2995,0.126126126,0.207207207,0.09009009,0.018018018,0.027027027,0.018018018,0.027027027,0,0.036036036,0.027027027,0.162162162,0.063063063,0.117117117,0.018018018,0.063063063,Burkina Faso
IL3897,0.120798319,0.108193277,0.085084034,0.011554622,0.050420168,0.053571429,0.06512605,0.015756303,0.013655462,0.028361345,0.125,0.05987395,0.066176471,0.037815126,0.158613445,Burkina Faso
BANAN CL2,0.153939394,0.164848485,0.128484848,0.019393939,0.029090909,0.042424242,0.015757576,0.012121212,0.020606061,0.03030303,0.155151515,0.043636364,0.073939394,0.032727273,0.077575758,Burkina Faso
KARAN,0.144676979,0.148316652,0.103730664,0.012738854,0.083712466,0.08189263,0.03366697,0.010009099,0.013648772,0.034576888,0.104640582,0.042766151,0.055505005,0.020018198,0.110100091,Burkina Faso
SA267,0.138941399,0.155954631,0.119092628,0.02173913,0.052930057,0.06710775,0.018903592,0.008506616,0.013232514,0.050094518,0.140831758,0.029300567,0.055765595,0.032136106,0.095463138,Burkina Faso
SA268,0.144965278,0.144097222,0.113715278,0.025173611,0.058159722,0.071180556,0.019097222,0.010416667,0.010416667,0.048611111,0.139756944,0.027777778,0.0625,0.030381944,0.09375,Burkina Faso
SA95-3308,0.171717172,0.161616162,0.123737374,0.016414141,0.035353535,0.039141414,0.012626263,0.01010101,0.017676768,0.037878788,0.148989899,0.034090909,0.070707071,0.021464646,0.098484848,Burkina Faso
DIND,0.158184319,0.132049519,0.104539202,0.020632737,0.081155433,0.022008253,0.041265475,0.011004127,0.011004127,0.041265475,0.166437414,0.04264099,0.072902338,0.031636864,0.063273728,Burkina Faso - Forest sub-type
IL3900,0.147826087,0.135652174,0.116521739,0.022608696,0.076521739,0.036521739,0.029565217,0.005217391,0.027826087,0.046956522,0.173913043,0.050434783,0.076521739,0.034782609,0.019130435,Burkina Faso - Forest sub-type
IL3926,0.150234742,0.126760563,0.118935837,0.023474178,0.067292645,0.03286385,0.039123631,0.010954617,0.017214397,0.045383412,0.183098592,0.048513302,0.073552426,0.026604069,0.03599374,Burkina Faso - Forest sub-type
ALME,0.105034722,0.1015625,0.085069444,0.010416667,0.084201389,0.092881944,0.053819444,0.015625,0.014756944,0.026041667,0.131076389,0.045138889,0.055555556,0.019965278,0.158854167,Cameroon
