Strain,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,Colour
IL2995,-0.019637186,-0.108350357,-0.01512639,-0.002392738,0.041261003,0.052742362,0.030150623,0.00831415,-0.019757856,0.006440593,-0.020610832,-0.010139913,-0.046085817,0.014763942,0.088528327,Burkina Faso
IL3578,0.0372799,0.048009392,0.035415677,0.002913416,0.001903849,-0.06624527,-0.045929695,0.002664432,-0.003495831,-0.001843114,0.034206697,-0.023348036,-0.009477175,-0.016653068,0.004698735,Burkina Faso
IL3897,-0.014309379,-0.009336427,-0.010120334,0.004070658,0.017867862,0.017188951,-0.0079484,-0.007442153,0.002622718,0.005106275,0.01655133,-0.0069508,0.004854829,-0.005033166,-0.007022055,Burkina Faso
IL3900,-0.041337147,-0.036795324,-0.041558039,-0.006983416,-0.008233709,0.034238641,0.027612433,0.003096759,-0.011547907,-0.013488902,-0.032361713,0.002488367,-0.005490439,-0.002000649,0.132460955,Forest sub-type
IL3926,-0.043745802,-0.027903713,-0.043972137,-0.007848898,0.000995385,0.03789653,0.018054019,-0.002640467,-0.000936217,-0.011915792,-0.041547262,0.004409848,-0.002521126,0.006177891,0.11559765,Forest sub-type
IL3932,0.041882198,0.03144112,0.001929992,0.001580336,-0.027217588,-0.005082317,-0.024283024,-0.005730794,-0.00619373,0.013804699,0.017955824,-0.020110558,0.031705457,-0.000925905,-0.050655801,Kenya
IL274,0.003817821,-0.017169861,-0.00767403,0.001434963,-0.01268025,-0.011042625,0.006259453,0.004975252,-0.000416311,0.00592171,0.015507924,0.012021647,0.007592235,0.004401326,-0.012849345,Kenya
IL374,-0.029005657,-0.020843898,-0.012318096,0.002325197,-0.006524938,-0.008208864,0.012289869,0.001664108,0.000484331,0.008529964,0.012706775,0.016347921,0.013674692,0.009506815,-0.000528311,Kenya
IL396,-0.023019257,-0.013438232,-0.014380562,0.003330198,-0.012859511,-0.008747817,0.008816994,0.004215789,0.003163426,0.011336472,0.021879199,0.012759216,0.012834579,0.010650812,-0.016441397,Kenya
IL399,-0.021825859,-0.009783013,-0.019989251,0.004504664,-0.007845417,-0.007939363,0.009273458,0.002326126,0.000880404,0.006949228,0.019224555,0.01442871,0.006018469,0.012251592,-0.008374393,Kenya
IL409,-0.015774808,-0.015932258,-0.014198073,0.005481126,-0.00539056,0.002420818,0.001651756,0.002441219,0.002396706,0.005704673,0.020355388,0.008609215,0.009098572,0.007688527,-0.01445239,Kenya
IL410,0.002932455,-0.014113861,-0.019178559,0.003072979,-0.005979752,-0.004553428,0.004876395,0.003084024,0.002679854,0.012547118,0.021258443,0.014220221,-0.003236482,0.013953508,-0.031463003,Kenya
IL438,0.01351169,0.006868719,0.024518596,0.000788485,-0.030623938,-0.027162469,0.001786948,0.00831415,0.001441385,0.00280491,0.002085455,0.009401884,0.000803802,0.003108369,-0.017548076,Kenya
IL439,-0.011589236,-0.018406994,-0.012984183,0.002595964,-0.012330863,-0.00904418,0.009132047,0.004242489,0.0016202,0.005780324,0.019401493,0.014649534,0.012399378,0.005908996,-0.01127506,Kenya
ILC66,-0.022971641,-0.022304976,-0.022131736,0.003177147,-0.007230642,-0.00143879,0.010704621,1.53948E-05,0.004659923,0.00940123,0.019559629,0.015578752,0.005471134,0.012864948,-0.005255083,Kenya
IL3035,-0.01535014,-0.014553112,-0.006262354,-0.002765525,0.001621363,0.00332743,0.015032056,-0.000114969,-0.005177759,0.002049995,-0.010939091,0.010777556,-0.00712962,0.010559738,0.01902434,Kenya
ILC55,0.084654879,0.05955554,0.048762827,0.006891656,-0.053982712,-0.055877175,-0.038892219,0.00831415,0.007544556,0.011633559,-0.011287098,0.004888216,-0.00757132,0.002214274,-0.066749221,Kenya
IL3779,0.016833768,0.036787884,0.040480941,-0.018857479,0.016563892,0.01213969,-0.049718902,-0.008927229,0.002485077,-0.014808242,0.007068571,-0.016042367,0.015858886,-0.00859735,-0.031167231,Kenya
IL3949,-0.02155984,-0.031224451,-0.024629796,-0.001651143,0.028653884,0.027061193,0.006364642,-0.003880972,0.005099318,-0.004134006,-0.008855174,0.011256483,-0.002139432,0.004326675,0.015412528,Kenya
IL2992,-0.006201415,0.002410149,-0.003208889,0.004457767,0.017526609,0.01289236,-0.012873111,-0.007929505,0.004095439,0.001995539,0.01261732,-0.003929642,0.006056681,-0.001735806,-0.026073585,Kenya
IL3000,0.033171632,0.059193388,0.025684854,-0.002403566,0.008191876,0.015471918,0.003091112,-0.016926235,0.004258949,-0.026628534,-0.000275593,-0.046836465,0.009733223,-0.04534304,-0.02028361,Kenya
IL3019,0.001172992,-0.000441044,0.000741032,0.004592181,0.014125543,0.014591874,-0.019051036,-0.007733994,0.003239063,0.004380358,0.003136084,-0.005251374,0.007841731,-0.001320347,-0.019923154,Kenya
IL3021,-0.00518108,-0.00476488,-0.003507125,0.004558882,0.013962074,0.014422352,-0.016262994,-0.007782429,0.005211782,0.005298606,0.014790767,-0.005426951,0.008657055,-0.00444138,-0.019434767,Kenya
IL3022,-0.010107699,-0.003033906,-0.005918653,0.005121078,0.009464501,0.00983601,-0.011099661,0.000961209,0.002622718,0.004055855,0.01760175,-0.0069508,0.00905651,-0.003982746,-0.017526257,Kenya
IL3180,-0.004140127,-0.00092623,-0.000958209,0.002610096,0.015142694,0.015445846,-0.013321265,-0.004701034,0.003262996,0.015029442,0.007061091,-0.00564518,0.010293773,-0.003009797,-0.036044185,Kenya
IL3349,0.004626947,-0.001909853,0.004865124,0.007958248,0.009142356,0.009424126,-0.016206797,-0.000448172,0.006420568,-0.002676958,0.007925919,-0.000746072,0.002028014,-0.005553199,-0.024750341,Kenya
IL3775,0.03042909,0.024043882,0.005138264,0.003156452,0.009684539,0.007169358,-0.032597911,0.003326619,6.87037E-05,-0.002691981,0.004394223,-0.014408521,0.006193395,-0.005871407,-0.037934795,Kenya
